timestamp,function,elapsed_time(ms)
270910322,ORBextractor_ExtractORB_computeDescriptors,6.596875
270910322,Frame_Frame_ExtractORB,15.590104
270910323,Tracking_GrabImageMonocular_Frame,16.170833
270910323,Tracking_Track_PreintegrateIMU,0.064583
270910342,Tracking_GrabImageMonocular_Track,18.640104
270910342,System_TrackMonocular_GrabImageMonocular,35.106250
270910342,System_TrackMonocular,36.205729
270910349,ORBextractor_ExtractORB_ComputePyramid,0.907812
270910357,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,7.763021
270910364,ORBextractor_ExtractORB_computeDescriptors,6.654688
270910364,Frame_Frame_ExtractORB,15.469791
270910364,Tracking_GrabImageMonocular_Frame,16.018229
270910364,Tracking_Track_PreintegrateIMU,0.067708
270910383,Tracking_GrabImageMonocular_Track,18.245312
270910383,System_TrackMonocular_GrabImageMonocular,34.851042
270910383,System_TrackMonocular,36.857291
270910389,ORBextractor_ExtractORB_ComputePyramid,0.903125
270910396,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,6.935417
270910403,ORBextractor_ExtractORB_computeDescriptors,6.930729
270910403,Frame_Frame_ExtractORB,14.910417
270910404,Tracking_GrabImageMonocular_Frame,15.488541
270910404,Tracking_Track_PreintegrateIMU,0.121875
270910422,Tracking_GrabImageMonocular_Track,18.013542
270910422,System_TrackMonocular_GrabImageMonocular,33.758333
270910422,System_TrackMonocular,34.830208
270910429,ORBextractor_ExtractORB_ComputePyramid,0.896354
270910437,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,7.438021
270910443,ORBextractor_ExtractORB_computeDescriptors,6.561458
270910443,Frame_Frame_ExtractORB,15.027083
270910444,Tracking_GrabImageMonocular_Frame,15.595312
270910444,Tracking_Track_PreintegrateIMU,0.067708
270910461,Tracking_GrabImageMonocular_Track,17.218229
270910461,System_TrackMonocular_GrabImageMonocular,33.052083
270910461,System_TrackMonocular,34.214062
270910468,ORBextractor_ExtractORB_ComputePyramid,0.937500
270910475,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,7.013541
270910482,ORBextractor_ExtractORB_computeDescriptors,6.665625
270910482,Frame_Frame_ExtractORB,14.754166
270910483,Tracking_GrabImageMonocular_Frame,15.336980
270910483,Tracking_Track_PreintegrateIMU,0.072917
270910500,Tracking_GrabImageMonocular_Track,17.322917
270910500,System_TrackMonocular_GrabImageMonocular,32.964583
270910500,System_TrackMonocular,34.163542
270910507,ORBextractor_ExtractORB_ComputePyramid,0.914062
270910514,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,7.374480
270910522,ORBextractor_ExtractORB_computeDescriptors,7.420834
270910522,Frame_Frame_ExtractORB,15.863541
270910522,Tracking_GrabImageMonocular_Frame,16.418750
270910522,Tracking_Track_PreintegrateIMU,0.059375
270910533,Tracking_GrabImageMonocular_Track,10.587500
270910533,System_TrackMonocular_GrabImageMonocular,27.524479
270910533,System_TrackMonocular,28.564583
